Tipo de Información;Comuna;Frecuencia;Tasa cada 100Mil;Rango
Casos Policiales;Alhué;24;318,50;medio
Casos Policiales;Buin;487;435,10;medio
Casos Policiales;Calera de Tango;123;423,90;medio
Casos Policiales;Cerrillos;653;729,40;alto
Casos Policiales;Cerro Navia;602;423,00;medio
Casos Policiales;Colina;782;421,30;medio
Casos Policiales;Conchalí;686;492,10;medio
Casos Policiales;Curacaví;185;500,10;medio
Casos Policiales;El Bosque;701;408,10;medio
Casos Policiales;El Monte;127;312,70;medio
Casos Policiales;Estación Central;1701;793,10;crítico
Casos Policiales;Huechuraba;614;536,50;alto
Casos Policiales;Independencia;829;561,40;alto
Casos Policiales;Isla de Maipo;95;232,80;bajo
Casos Policiales;La Cisterna;803;794,10;crítico
Casos Policiales;La Florida;2194;541,50;alto
Casos Policiales;La Granja;633;518,70;medio
Casos Policiales;La Pintana;798;421,20;medio
Casos Policiales;La Reina;568;565,40;alto
Casos Policiales;Lampa;519;394,90;medio
Casos Policiales;Las Condes;1561;465,60;medio
Casos Policiales;Lo Barnechea;351;276,80;bajo
Casos Policiales;Lo Espejo;637;616,20;alto
Casos Policiales;Lo Prado;611;585,20;alto
Casos Policiales;Macul;684;501,90;medio
Casos Policiales;Maipú;2166;370,90;medio
Casos Policiales;María Pinto;40;264,30;bajo
Casos Policiales;Melipilla;682;474,30;medio
Casos Policiales;Ñuñoa;1507;589,10;alto
Casos Policiales;Padre Hurtado;243;318,80;medio
Casos Policiales;Paine;277;328,30;medio
Casos Policiales;Pedro Aguirre Cerda;564;525,10;alto
Casos Policiales;Peñaflor;292;284,40;bajo
Casos Policiales;Peñalolén;1119;415,50;medio
Casos Policiales;Pirque;66;212,00;bajo
Casos Policiales;Providencia;2508;1567,10;crítico
Casos Policiales;Pudahuel;1211;471,90;medio
Casos Policiales;Puente Alto;2418;369,10;medio
Casos Policiales;Quilicura;1073;409,60;medio
Casos Policiales;Quinta Normal;1035;745,10;alto
Casos Policiales;Recoleta;1864;962,80;crítico
Casos Policiales;Renca;777;479,80;medio
Casos Policiales;San Bernardo;2028;598,20;alto
Casos Policiales;San Joaquín;501;482,30;medio
Casos Policiales;San José de Maipo;148;782,40;crítico
Casos Policiales;San Miguel;1007;735,90;alto
Casos Policiales;San Pedro;55;453,30;medio
Casos Policiales;San Ramón;420;488,30;medio
Casos Policiales;Santiago;6120;1183,10;crítico
Casos Policiales;Talagante;331;399,30;medio
Casos Policiales;Tiltil;84;385,60;medio
Casos Policiales;Vitacura;580;593,70;alto
