CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;ESTE;NORTE;LONGITUD;LATITUD;;
L1;METRO;SAN PABLO L1;Av. San Pablo 6190;LO PRADO;339837;6298000;-70,723118;-33,445454;;
L1;METRO;NEPTUNO;Av. Neptuno Oriente frente al 260;LO PRADO;339892,7606;6297326,884;-70,72264572;-33,45153638;;
L1;METRO;PAJARITOS;Av. General Bonilla 5900;LO PRADO;340527,1653;6296685,092;-70,71593663;-33,45741718;;
L1;METRO;LAS REJAS;Av. Libertador Bernardo O`Higgins 6056;ESTACION CENTRAL;341462,6711;6296705,866;-70,70587076;-33,45736879;;
L1;METRO;ECUADOR;Av. Libertador Bernardo O`Higgins Frente al 4620;ESTACION CENTRAL;341905,437;6296835,372;-70,7010856;-33,45626665;;
L1;METRO;SAN ALBERTO HURTADO;Av. Libertador Bernardo O`Higgins Frente al 4102;ESTACION CENTRAL;348825,5179;6299475,019;-70,62620853;-33,43346653;;
L1;METRO;UNIVERSIDAD DE SANTIAGO;Av. Libertador Bernardo O`Higgins Frente al 3702;ESTACION CENTRAL;343266,9868;6297238,515;-70,6863706;-33,45283211;;
L1;METRO;ESTACION CENTRAL;Av. Libertador Bernardo O`Higgins Frente al 3322;ESTACION CENTRAL;343934,7577;6297466,43;-70,6791488;-33,45087477;;
L1;METRO;UNION LATINOAMERICANA;Av. Libertador Bernardo O`Higgins 2841;SANTIAGO;344461,2902;6297635,972;-70,67345643;-33,44942278;;
L1;METRO;REPUBLICA;Av. Libertador Bernardo O`Higgins 2275;SANTIAGO;350091,4824;6300441,628;-70,61243387;-33,42492921;;
L1;METRO;LOS HEROES L1;Av. Libertador Bernardo O`Higgins 1774;SANTIAGO;345548;6297979;-70,661705;-33,446487;;
L1;METRO;LA MONEDA;Av. Libertador Bernardo O`Higgins 1330;SANTIAGO;346187,8158;6298170,253;-70,65479586;-33,44485501;;
L1;METRO;UNIVERSIDAD DE CHILE;Av. Libertador Bernardo O`Higgins 1020;SANTIAGO;346604,6034;6298297,775;-70,65029168;-33,44376503;;
L1;METRO;SANTA LUCIA;Av. Libertador Bernardo O´Higgins N°511;SANTIAGO;347075,4295;6298439,555;-70,64520402;-33,44255404;;
L1;METRO;UNIVERSIDAD CATOLICA;Av. Libertador Bernardo O`Higgins 270;SANTIAGO;347551,6154;6298746,621;-70,64003081;-33,43985337;;
L1;METRO;BAQUEDANO L1;Av. Providencia 011;PROVIDENCIA;348189;6299042;-70,633119;-33,437277;;
L1;METRO;SALVADOR;Av. Providencia 700;PROVIDENCIA;345054,9578;6297836,061;-70,66703694;-33,44770483;;
L1;METRO;MANUEL MONTT;Av. Providencia 1337;PROVIDENCIA;349496,1105;6299958,638;-70,61891639;-33,42920051;;
L1;METRO;PEDRO DE VALDIVIA;Av. Providencia 1880;PROVIDENCIA;342712,0362;6297075,139;-70,69236796;-33,45422373;;
L1;METRO;LOS LEONES L1;Av. Nueva Providencia 2249;PROVIDENCIA;350438,5753;6300752,578;-70,60865006;-33,42217409;;
L1;METRO;TOBALABA L1;Av. Tobalaba 117;PROVIDENCIA;350977;6301143;-70,602792;-33,418722;;
L1;METRO;EL GOLF;Av. Apoquindo Frente al Nº3231;LAS CONDES;351618,7857;6301382,585;-70,59585634;-33,41665773;;
L1;METRO;ALCANTARA;Av. Apoquindo Frente al 3885;LAS CONDES;352190,5053;6301526,536;-70,58968584;-33,41543877;;
L1;METRO;ESCUELA MILITAR;Av. Apoquindo Frente al 4502;LAS CONDES;352658,066;6301660,983;-70,5846369;-33,41429088;;
L1;METRO;MANQUEHUE;Av. Apoquindo Frente al 5875;LAS CONDES;354184,6624;6302268,053;-70,56812562;-33,4090259;;
L1;METRO;HERNANDO DE MAGALLANES;Av. Apoquindo 7095;LAS CONDES;355347,891;6302398,567;-70,55559909;-33,4080066;;
L1;METRO;LOS DOMINICOS;Av. Apoquindo 8613;LAS CONDES;356325,9436;6302425,364;-70,5450801;-33,4078964;;
L2;METRO;LA CISTERNA L2;Gran Avenida José Miguel Carrera 8870;LA CISTERNA;345453,5333;6287830,498;-70,66447587;-33,53797104;;
L2;METRO;EL PARRON;Gran Avenida José Miguel Carrera 7958;LA CISTERNA;345716,5609;6289105,592;-70,66142413;-33,52651309;;
L2;METRO;LO OVALLE;Gran Avenida José Miguel  Carrera 6560 - 6559;LA CISTERNA;345943,1315;6290138,503;-70,65880733;-33,51723324;;
L2;METRO;CIUDAD DEL NIÑO;Gran Avenida José Miguel Carrera Frente al 5940;SAN MIGUEL;346129,7627;6290986,852;-70,6566527;-33,50961155;;
L2;METRO;DEPARTAMENTAL;Gran Avenida José Miguel Carrera Frente al 5350;SAN MIGUEL;346290,593;6291715,086;-70,65479674;-33,50306902;;
L2;METRO;LO VIAL;Gran Avenida José Miguel Carrera Frente al 4688;SAN MIGUEL;346455,7104;6292455,931;-70,6528928;-33,49641338;;
L2;METRO;SAN MIGUEL;Gran Avenida José Miguel Carrera Frente al 3806;SAN MIGUEL;346699;6293314;-70,65068721;-33,4889964;;
L2;METRO;EL LLANO;Gran Avenida Jose Miguel Carrera Frente al 3080;SAN MIGUEL;346781,536;6293993,441;-70,64912373;-33,48259804;;
L2;METRO;FRANKLIN L2;Placer 1310;SANTIAGO;346744,2336;6294717,091;-70,6494014;-33,47606832;;
L2;METRO;RONDIZZONI;Av. General Rondizzoni 1650;SANTIAGO;346111;6295384;-70,65666564;-33,47024892;;
L2;METRO;PARQUE O'HIGGINS;Av. Manuel Antonio Matta 1704;SANTIAGO;346027,7472;6296394,531;-70,65682185;-33,46084182;;
L2;METRO;TOESCA;Toesca 1635;SANTIAGO;345834,9868;6297333,159;-70,6587341;-33,45235149;;
L2;METRO;LOS HEROES L2;Av. Libertador Bernardo O`Higgins 1774;SANTIAGO;345548;6297979;-70,661705;-33,446487;;
L2;METRO;SANTA ANA L2;Compañía de Jesús N°1625;SANTIAGO;345864;6298817;-70,65873106;-33,43925504;;
L2;METRO;PUENTE CAL Y CANTO;General Mackenna 1100;SANTIAGO;346405,4456;6299494,591;-70,65222894;-33,43294603;;
L2;METRO;PATRONATO;Av. Recoleta 301;RECOLETA;346880,8328;6299870,081;-70,64705304;-33,42962862;;
L2;METRO;CERRO BLANCO;Av. Recoleta 860;RECOLETA;347064,8263;6300666,222;-70,64493917;-33,42247685;;
L2;METRO;CEMENTERIOS;Av. Recoleta 1502;RECOLETA;347172,4399;6301622,151;-70,64361969;-33,41387349;;
L2;METRO;EINSTEIN;Av. Einstein 601;RECOLETA;347200,5319;6302442,92;-70,64317829;-33,40647739;;
L2;METRO;DORSAL;Av. Recoleta 3202;RECOLETA;347224,441;6303516,254;-70,6427391;-33,39680353;;
L2;METRO;ZAPADORES;Av. Recoleta 3754;RECOLETA;347238;6304160;-70,642441;-33,390938;;
L2;METRO;VESPUCIO NORTE;Ignacio Carrera Pinto altura 661;RECOLETA;346929;6305281;-70,64617581;-33,38113184;;
L3;METRO;LOS LIBERTADORES;AV. AMÉRICO VESPUCIO 2500;QUILICURA;343004;6306739;-70.6875399;-33.3671373;;
L3;METRO;CARDENAL CARO;AV. JOSÉ MARÍA CARO 1875;CONCHALI;343208;6306090;-70.685459;-33.373018;;
L3;METRO;VIVACETA;AV. INDEPENDENCIA 4765;CONCHALI;343783;6304754;-70.679508;-33.385142;;
L3;METRO;CONCHALI;AV. INDEPENDENCIA 3279;CONCHALI;344658;6303426;-70.670334;-33.397244;;
L3;METRO;PLAZA CHACABUCO;JULIO MARTINEZ PRADANUS 1500;INDEPENDENCIA;345549;6302460;-70.660928;-33.406079;;
L3;METRO;HOSPITALES;PROFESOR ZAÑARTU 1190;INDEPENDENCIA;346057;6301173;-70.655687;-33.417756;;
L3;METRO;PUENTE CAL Y CANTO L3;GENERAL MACKENNA 1010;SANTIAGO;346413;6299474;-70.652146;-33.433128;;
L3;METRO;PLAZA DE ARMAS L3;BANDERA 530;SANTIAGO;346688;6299118;-70.649818;-33.436672;;
L3;METRO;UNIVERSIDAD DE CHILE L3;AV. LIBERTADOR BERNARDO O'HIGGINS 1020;SANTIAGO;346653;6298298;-70.650337;-33.444057;;
L3;METRO;PARQUE ALMAGRO;AV. SANTA ISABEL 1110;SANTIAGO;346601;6297432;-70.6504687;-33.4515666;;
L3;METRO;MATTA;SANTA ROSA 1088;SANTIAGO;347293;6296732;-70.643150;-33.457973;;
L3;METRO;IRARRAZAVAL L3;MATTA ORIENTE 240;ÑUÑOA;348700;6297111;-70.627946;-33.454762;;
L3;METRO;MONSEÑOR EYZAGUIRRE;MONSEÑOR EYZAGUIRRE 39;ÑUÑOA;350011;6297270;-70.613826;-33.453507;;
L3;METRO;ÑUÑOA L3;IRARRAZAVAL 2461;ÑUÑOA;350837;6297230;-70.605515;-33.454277;;
L3;METRO;CHILE-ESPAÑA;IRARRAZAVAL 3227;ÑUÑOA;351549;6297112;-70.597308;-33.455150;;
L3;METRO;VILLA FREI;IRARRAZAVAL 4675;ÑUÑOA;353009;6297167;-70.581595;-33.454856;;
L3;METRO;PLAZA EGAÑA L3;IRARRAZAVAL 5738;ÑUÑOA;353938;6297337;-70.571569;-33.453450;;
L3;METRO;FERNANDO CASTILLO VELASCO;AV. ALCALDE FERNANDO CASTILLO VELASCO 6831;LA REINA;355173;6297482;-70.558266;-33.452310;;
L4;METRO;TOBALABA L4;Av. Tobalaba 117;PROVIDENCIA;350977;6301143;-70,602792;-33,418722;;
L4;METRO;CRISTOBAL COLON;Eliodoro Yañez 2987;PROVIDENCIA;352072,5305;6300319,549;-70,59115277;-33,42630504;;
L4;METRO;FRANCISCO BILBAO;Francisco Bilbao 3785;PROVIDENCIA;352691,1791;6299702,376;-70,58460176;-33,43195483;;
L4;METRO;PRINCIPE DE GALES;Av. Americo Vespucio 1660;ÑUÑOA;353708,2509;6299052,133;-70,57377057;-33,43795692;;
L4;METRO;SIMON BOLIVAR;Av. Americo Vespucio 760;ÑUÑOA;353926,2028;6297939,613;-70,57160757;-33,4480175;;
L4;METRO;PLAZA EGAÑA;Av. Américo Vespucio 30;ÑUÑOA;354017,8233;6297380,093;-70,57071311;-33,4530748;;
L4;METRO;LOS ORIENTALES;Av. Americo Vespucio 825;ÑUÑOA;353739,1837;6296327,847;-70,57388164;-33,46252415;;
L4;METRO;GRECIA;Av. Grecia 5280;ÑUÑOA;353508,5164;6295537,495;-70,57649201;-33,46961865;;
L4;METRO;LOS PRESIDENTES;Av. Americo Vespucio  2469;MACUL;353325,0936;6294397,705;-70,57865169;-33,47987017;;
L4;METRO;QUILIN;Av. Americo Vespucio 3411;MACUL;353181,0077;6293467,661;-70,58035428;-33,48823591;;
L4;METRO;LAS TORRES;Av. Américo Vespucio 5001;MACUL;352640,5861;6292278,654;-70,58636495;-33,49888191;;
L4;METRO;MACUL;Av. Macul 6309;MACUL;352321,1175;6291126,813;-70,58999289;-33,50922302;;
L4;METRO;VICUÑA MACKENNA L4;Av. Américo Vespucio Frente al 7340;LA FLORIDA;351765;6289947;-70,596173;-33,519778;;
L4;METRO;VICENTE VALDES L4;Av. Vicuña Mackenna 7897;LA FLORIDA;351723;6289194;-70,596748;-33,526559;;
L4;METRO;ROJAS MAGALLANES;Av. Vicuña Mackenna Frente al 8825;LA FLORIDA;352123,8593;6288135,256;-70,59261037;-33,53616799;;
L4;METRO;TRINIDAD;Avda. Vicuña Mackenna Frente al 9779;LA FLORIDA;352580,2054;6286987,313;-70,58788652;-33,54658109;;
L4;METRO;SAN JOSE DE LA ESTRELLA;Avda. Vicuña Mackenna Frente al 10422;LA FLORIDA;352717,0954;6286238,053;-70,58653604;-33,5533554;;
L4;METRO;LOS QUILLAYES;Avda. Vicuña Mackenna Frente al 11145;LA FLORIDA;352856,7957;6285355,401;-70,58517708;-33,56133276;;
L4;METRO;ELISA CORREA;Avda. Concha y Toro 3999;PUENTE ALTO;353003,5453;6284455,636;-70,5837448;-33,56946535;;
L4;METRO;HOSPITAL SOTERO DEL RIO;Av. Concha y Toro 3458;PUENTE ALTO;353162,1116;6283611,087;-70,58217591;-33,57710174;;
L4;METRO;PROTECTORA DE LA INFANCIA;Avda. Concha y Toro 2410;PUENTE ALTO;353404,6406;6282211,523;-70,57979352;-33,58975371;;
L4;METRO;LAS MERCEDES;Av. Concha y Toro 1099;PUENTE ALTO;353627,189;6280998,549;-70,57759514;-33,60072058;;
L4;METRO;PLAZA DE PUENTE ALTO;Av. Concha y Toro 265;PUENTE ALTO;353814,4188;6279920,869;-70,57575465;-33,61046273;;
L4A;METRO;VICUÑA MACKENNA L4A;Av. Américo Vespucio Frente al 7340;LA FLORIDA;351765;6289947;-70,596173;-33,519778;;
L4A;METRO;SANTA JULIA;Avda. Americo Vespucio Frente al 8320;LA FLORIDA;350919,4336;6288671,995;-70,605488;-33,53116125;;
L4A;METRO;LA GRANJA;Avda. Américo Vespucio 0741-E;LA GRANJA;349955,8534;6287544,553;-70,61605065;-33,54119132;;
L4A;METRO;SANTA ROSA;Av. Santa Rosa 8914;LA GRANJA;348282,6206;6287378,773;-70,63409398;-33,5424495;;
L4A;METRO;SAN RAMON;Avda. Americo Vespucio 1775;SAN RAMON;346685,4797;6287624,191;-70,65124793;-33,54000867;;
L4A;METRO;LA CISTERNA L4A;Gran Avenida José Miguel Carrera 8870;LA CISTERNA;345453,5333;6287902,464;-70,66447587;-33,53797104;;
L5;METRO;PLAZA DE MAIPU;Av. Pajaritos 1921;MAIPU;336785,231;6290719,293;-70,75726982;-33,51063767;;
L5;METRO;SANTIAGO BUERAS;Av. Pajaritos 3321;MAIPU;336743,635;6292296,177;-70,75743006;-33,49641509;;
L5;METRO;DEL SOL;Avda. Pajaritos 3801;MAIPU;337167,5617;6293032,994;-70,75273454;-33,489837;;
L5;METRO;MONTE TABOR;Av. Pajaritos 4460;MAIPU;337837,1708;6293900,679;-70,7453728;-33,48211614;;
L5;METRO;LAS PARCELAS;Avda. Pajaritos 5090;MAIPU;338189,0296;6294434,614;-70,74149089;-33,47735571;;
L5;METRO;LAGUNA SUR;Avda. Laguna Sur 7297;PUDAHUEL;338505,2073;6296045,775;-70,73779937;-33,462878;;
L5;METRO;BARRANCAS;Av. Gral. Bonilla 8220;PUDAHUEL;338375,0531;6297139,506;-70,73900243;-33,45299778;;
L5;METRO;PUDAHUEL;Av. Teniente Cruz 800;PUDAHUEL;338211,7654;6298026,71;-70,74059879;-33,4449745;;
L5;METRO;SAN PABLO L5;Av. San Pablo 6190;LO PRADO;339837;6298000;-70,723118;-33,445454;;
L5;METRO;LO PRADO;Av. San Pablo 5885;LO PRADO;340503,5035;6298251,053;-70,715913;-33,44329548;;
L5;METRO;BLANQUEADO;Av. San Pablo 5199;QUINTA NORMAL;341304,3537;6298464,892;-70,70726277;-33,44148648;;
L5;METRO;GRUTA DE LOURDES;Av. San Pablo 4098;QUINTA NORMAL;342744,4783;6298830,47;-70,6917117;-33,4384028;;
L5;METRO;QUINTA NORMAL;Catedral 3336;SANTIAGO;343819,4113;6298625,336;-70,68018787;-33,44040945;;
L5;METRO;CUMMING;Av. Ricardo Cumming 502;SANTIAGO;344899,8884;6298780,815;-70,66854158;-33,43916458;;
L5;METRO;SANTA ANA L5;Catedral 1512;SANTIAGO;345841;6298895;-70,65838929;-33,43825964;;
L5;METRO;PLAZA DE ARMAS;21 de Mayo 543;SANTIAGO;346563,6763;6299017,317;-70,65060895;-33,43727179;;
L5;METRO;BELLAS ARTES;Mosqueto 515;SANTIAGO;347082,1066;6299091,105;-70,64502132;-33,43668061;;
