,Codigo_Aviso,Comuna,Link,Tipo_Vivienda,N_Habitaciones,N_Baños,N_Estacionamientos,Amoblado,Total_Superficie_M2,Superficie_Construida_M2,anoConstruccion,Valor_UF,Valor_CLP,Dirección,tipoPublicacion,Quién_Vende,Corredor,fechaPublicacion
0,6031175,Quinta Normal,https://chilepropiedades.cl/ver-publicacion/venta-usada/quinta-normal/casa/salvador-gutierrez-con-nunez-de-balboa/6031175,Casa,3.0,3.0,,No,750.0,457.0,,15300.0,485622000.0,"Quinta Normal, Salvador Gutierrez con Nuñez de Balboa",Venta Usada,                      Oliver Propiedades                  ,Unne,02/04/2022
1,5592922,Santiago,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/avenida-el-rosal/5592922,Casa,5.0,2.0,2.0,,147.0,159.0,,4788.91,152000000.0,"Santiago, Avenida El Rosal",Venta Usada,                      fabian M.                  ,fabian,07/03/2022
2,6720221,Maipú,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/el-huaso-2546-maipu/6720221,Casa,2.0,1.0,1.0,No,111.0,96.0,,3056.08,97000000.0,"Maipú, El Huaso 2546 Maipú",Venta Usada,                      Baquedano Consultores                  ,Unne,02/04/2022
3,6071448,Puente Alto,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/metro-sotero-del-rio/6071448,Casa,3.0,3.0,,No,100.0,76.4,,4190.3,133000000.0,"Puente Alto, Metro sótero del rio",Venta Usada,                      Schumacher Propiedades                  ,Schumacher Propiedades,03/04/2022
4,3995128,Maipú,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/ramayana-cerca-metro-plaza-maipu/3995128,Casa,4.0,2.0,3.0,,130.0,110.0,,5513.55,175000000.0,"Maipú, Ramayana  cerca Metro Plaza Maipu",Venta Usada,                      Soledad Arze                  ,Sucasa Gestión Inmobiliaria,04/04/2022
5,6033126,Paine,https://chilepropiedades.cl/ver-publicacion/venta-usada/paine/casa/dieciocho-de-septiembre-agpedro-vargas/6033126,Casa,3.0,1.0,1.0,No,112.0,119.0,,1890.36,60000000.0,"Paine, Dieciocho de Septiembre (AG)/Pedro Vargas",Venta Usada,                      Propiedades Centro Santiago SPA                  ,Propiedades Centro Santiago SPA,02/04/2022
6,6503735,Maipú,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/el-conquistadorautopista-del-sol/6503735,Casa,5.0,2.0,1.0,No,149.0,129.0,,3465.66,110000000.0,"Maipú, El Conquistador/Autopista del Sol",Venta Usada,                      Luz Godoy Propiedades                  ,Luz Godoy Propiedades,01/04/2022
7,6638667,Santiago,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/santa-lidia-maipu-chile/6638667,Casa,3.0,2.0,3.0,,130.0,60.0,,3308.13,105000000.0,"Santiago, Santa Lidia, Maipú, Chile",Venta Usada,                      GLORIA ALVILLE                  ,,07/03/2022
8,6600605,San Miguel,https://chilepropiedades.cl/ver-publicacion/venta-usada/san-miguel/casa/san-miguel-region-metropolitana/6600605,Casa,4.0,1.0,1.0,No,160.0,132.0,,4253.31,135000000.0,"San Miguel, San Miguel, Región Metropolitana",Venta Usada,                      Erika Pérez Arellano                  ,Gescor Propiedades -Expertos Agentes Inmobiliarios,01/04/2022
9,6722161,Vitacura,https://chilepropiedades.cl/ver-publicacion/venta-usada/vitacura/casa/joaquin-cerda/6722161,Casa,4.0,3.0,4.0,No,337.0,140.0,,19800.0,628452000.0,"Vitacura, Joaquin cerda",Venta Usada,                      Elly Aguilar                  ,Unne,02/04/2022
10,6598325,Puente Alto,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/portezuelo-tobalaba-casa-de-2-pisos-3-dorm-y-2-banos-amplio-terreno/6598325,Casa,3.0,2.0,2.0,No,165.0,90.0,,4250.0,134895000.0,"Puente Alto, Portezuelo Tobalaba, casa de 2 pisos, 3 Dorm y 2 Baños, amplio terreno",Venta Usada,                      Relocate SpA                  ,Unne,31/03/2022
11,6028407,Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/el-algarrobo-avenida-del-valle/6028407,Casa,5.0,5.0,8.0,No,5600.0,760.0,,28000.0,888720000.0,"Colina, El Algarrobo / Avenida del Valle",Venta Usada,                      Bascur Propiedades                  ,Unne,03/04/2022
12,5676395,Providencia,https://chilepropiedades.cl/ver-publicacion/venta-usada/providencia/casa/miguel-claro-metro-santa-isabel/5676395,Casa,3.0,2.0,3.0,,159.6,282.0,,12287.0,389989380.0,"Providencia, Miguel Claro, metro Santa Isabel",Venta Usada,                      Soledad Arze                  ,Sucasa Gestión Inmobiliaria,04/04/2022
13,6724521,Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/camino-otonal/6724521,Casa,5.0,8.0,9.0,No,1994.0,580.0,1994.0,45000.0,1428300000.0,"Las Condes, Camino Otoñal",Venta Usada,                      Houm                  ,Houm,02/04/2022
14,6712357,Lo Barnechea,https://chilepropiedades.cl/ver-publicacion/venta-usada/lo-barnechea/casa/laguna-de-lo-barnechea/6712357,Casa,3.0,3.0,,No,377.0,200.0,,15480.0,491335200.0,"Lo Barnechea, Laguna de Lo Barnechea",Venta Usada,                      Cata Brochet Propiedades                  ,Cata Brochet Propiedades,01/04/2022
15,6176889,Calera de Tango,https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/calle-6/6176889,Casa,4.0,2.0,1.0,,233.0,68.72,,4725.9,150000000.0,"Calera de Tango, Calle 6",Venta Usada,                      Giovanna Pomar                  ,Giovanna Pomar,06/03/2022
16,6715569,Puente Alto,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/san-hugo/6715569,Casa,2.0,1.0,2.0,No,90.0,70.0,,2200.0,69828000.0,"Puente Alto, San hugo",Venta Usada,                      Mauricio Duarte                  ,Mi Llave,01/04/2022
17,6420408,La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/pontevedra-av-vicente-perez-rosales/6420408,Casa,4.0,2.0,6.0,No,375.0,135.0,,10480.0,332635200.0,"La Reina, Pontevedra/ Av. Vicente Pérez Rosales",Venta Usada,                      Ema Soto                  ,Mi Llave,02/04/2022
18,6176022,Maipú,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/americo-vespucioprimo-de-rivera/6176022,Casa,3.0,2.0,1.0,No,200.0,123.0,,4625.0,146797500.0,"Maipú, Americo Vespucio/Primo de Rivera",Venta Usada,                      Procasa Inmobiliaria Echagüe                  ,Procasa Inmobiliaria Echagüe,31/03/2022
19,6424273,La Granja,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-granja/casa/la-granja-region-metropolitana/6424273,Casa,3.0,2.0,1.0,No,110.0,90.0,,3465.66,110000000.0,"La Granja, La Granja, Región Metropolitana",Venta Usada,                      Rodolfo Zuñiga                  ,Todo Propiedades,03/04/2022
20,5857769,Buin,https://chilepropiedades.cl/ver-publicacion/venta-usada/buin/casa/calle-el-bosque/5857769,Casa,6.0,3.0,3.0,,2000.0,550.0,,17643.35,560000000.0,"Buin, Calle el bosque",Venta Usada,                      Soledad Arze                  ,Sucasa Gestión Inmobiliaria,04/04/2022
21,5767202,Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/se-aceptan-ofertascolegio-san-anselmo/5767202,Casa,4.0,3.0,,No,4400.0,215.0,,18700.0,593538000.0,"Colina, ¡se aceptan ofertas!/colegio san anselmo",Venta Usada,                      Alonso Baeza Rivera y Cía. Ltda. (Tobalaba)                  ,Alonso Baeza Rivera y Cía. Ltda.,02/04/2022
22,3725140,Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/camino-del-observatoriolos-pintores/3725140,Casa,4.0,4.0,1.0,No,1600.0,500.0,,29900.0,949026000.0,"Las Condes, Camino Del Observatorio/Los Pintores",Venta Usada,                      Propiedades Ricardo Vial y Cia. Ltda.                  ,Propiedades Ricardo Vial y Cia. Ltda.,01/04/2022
23,6627452,Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/valle-del-aconcagua/6627452,Casa,2.0,1.0,1.0,,74.0,54.0,,2205.42,70000000.0,"Lampa, Valle del Aconcagua",Venta Usada,                      Gestion Total Chile                  ,Gestion Total Chile,04/03/2022
