,id,Comuna,N_Habitaciones,N_Baños,N_Estacionamientos,Amoblado,Total_Superficie_M2,Valor_UF,Link,colUF/m2,Tasa cada 100Mil,Rango,closest_metro,dist_closest_metro,closest_super,closest_super_dist
0,1,Quinta Normal,3.0,3.0,2.443019943019943,No,750.0,15300.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/quinta-normal/casa/salvador-gutierrez-con-nunez-de-balboa/6031175,20.0,745.1,alto,GRUTA DE LOURDES,1.3584541712206493,San Pablo,1.3192456957593734
1,2,Santiago,5.0,2.0,2.0,,147.0,4788.91,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/avenida-el-rosal/5592922,33.0,1183.1,crítico,SANTIAGO BUERAS,1.8575043189743308,La Farfana,0.0
2,3,Maipú,2.0,1.0,1.0,No,111.0,3056.08,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/el-huaso-2546-maipu/6720221,28.0,370.9,medio,PLAZA DE MAIPU,0.1668376420240113,Lider,1.14396786841417
3,4,Puente Alto,3.0,3.0,2.443019943019943,No,100.0,4190.3,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/metro-sotero-del-rio/6071448,42.0,369.1,medio,PLAZA DE PUENTE ALTO,0.1069172956548045,Plazuela Independencia,0.8218237932894789
4,5,Maipú,4.0,2.0,3.0,,130.0,5513.55,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/ramayana-cerca-metro-plaza-maipu/3995128,42.0,370.9,medio,PLAZA DE MAIPU,0.1668376420240113,Lider,1.14396786841417
5,6,Paine,3.0,1.0,1.0,No,112.0,1890.36,https://chilepropiedades.cl/ver-publicacion/venta-usada/paine/casa/dieciocho-de-septiembre-agpedro-vargas/6033126,17.0,328.3,medio,PLAZA DE PUENTE ALTO,26.82212435234387,Unimarc,19.779700410502212
6,7,Maipú,5.0,2.0,1.0,No,149.0,3465.66,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/el-conquistadorautopista-del-sol/6503735,23.0,370.9,medio,PLAZA DE MAIPU,0.1668376420240113,Lider,1.14396786841417
7,8,Santiago,3.0,2.0,3.0,,130.0,3308.13,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/santa-lidia-maipu-chile/6638667,25.0,1183.1,crítico,PLAZA DE ARMAS,0.0577957445561542,Express de Lider,0.2421656996236552
8,9,San Miguel,4.0,1.0,1.0,No,160.0,4253.31,https://chilepropiedades.cl/ver-publicacion/venta-usada/san-miguel/casa/san-miguel-region-metropolitana/6600605,27.0,735.9,alto,SAN MIGUEL,0.0478475322808003,Carlos Valdovinos,1.5331839629733552
9,10,Vitacura,4.0,3.0,4.0,No,337.0,19800.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/vitacura/casa/joaquin-cerda/6722161,59.0,593.7,alto,MANQUEHUE,2.694651174798146,Lider,0.5284109405786299
10,11,Puente Alto,3.0,2.0,2.0,No,165.0,4250.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/portezuelo-tobalaba-casa-de-2-pisos-3-dorm-y-2-banos-amplio-terreno/6598325,26.0,369.1,medio,PLAZA DE PUENTE ALTO,0.1069172956548045,Plazuela Independencia,0.8218237932894789
11,13,Providencia,3.0,2.0,3.0,,159.6,12287.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/providencia/casa/miguel-claro-metro-santa-isabel/5676395,77.0,1567.1,crítico,LOS LIBERTADORES,3898.883442417413,Express de Lider,342.29714237761084
12,15,Lo Barnechea,3.0,3.0,2.443019943019943,No,377.0,15480.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/lo-barnechea/casa/laguna-de-lo-barnechea/6712357,41.0,276.8,bajo,LOS DOMINICOS,19.18722606594324,Express de Lider,12.229156722320129
13,16,Calera de Tango,4.0,2.0,1.0,,233.0,4725.9,https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/calle-6/6176889,20.0,423.9,medio,PLAZA DE MAIPU,13.41550038167834,Padre Hurtado ,7.164920530434817
14,17,Puente Alto,2.0,1.0,2.0,No,90.0,2200.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/san-hugo/6715569,24.0,369.1,medio,PROTECTORA DE LA INFANCIA,1.7086179412830578,Puente Alto ,1.5731553540456995
15,18,La Reina,4.0,2.0,6.0,No,375.0,10480.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/pontevedra-av-vicente-perez-rosales/6420408,28.0,565.4,alto,FERNANDO CASTILLO VELASCO,2.1629950938800966,Lider,0.9437413907081876
16,19,Maipú,3.0,2.0,1.0,No,200.0,4625.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/americo-vespucioprimo-de-rivera/6176022,23.0,370.9,medio,DEL SOL,0.7487192819447999,Lider,1.0887938586542554
17,20,La Granja,3.0,2.0,1.0,No,110.0,3465.66,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-granja/casa/la-granja-region-metropolitana/6424273,32.0,518.7,medio,LA GRANJA,0.0094332623959989,Superbodega Acuenta,1.2222751566624892
18,21,Buin,6.0,3.0,3.0,,2000.0,17643.35,https://chilepropiedades.cl/ver-publicacion/venta-usada/buin/casa/calle-el-bosque/5857769,9.0,435.1,medio,PLAZA DE PUENTE ALTO,20.47522551893628,Unimarc,12.047918569536938
19,22,Colina,4.0,3.0,2.443019943019943,No,4400.0,18700.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/se-aceptan-ofertascolegio-san-anselmo/5767202,4.0,421.3,medio,LOS DOMINICOS,2588.039545902446,Unimarc,673.5928752935006
20,23,Las Condes,4.0,4.0,1.0,No,1600.0,29900.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/camino-del-observatoriolos-pintores/3725140,19.0,465.6,medio,LOS DOMINICOS,3.176737799882761,Jumbo La Reina ,2.202075987816931
21,24,Lampa,2.0,1.0,1.0,,74.0,2205.42,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/valle-del-aconcagua/6627452,30.0,394.9,medio,LOS LIBERTADORES,20.41363370102717,Unimarc,1.8339849058844824
22,25,Puente Alto,6.0,3.0,2.443019943019943,No,214.0,5045.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/jorge-ross-ossa/6772634,24.0,369.1,medio,PROTECTORA DE LA INFANCIA,1.847077213702895,Express de Lider,1.8728738826131732
23,26,Pudahuel,4.0,2.0,2.443019943019943,No,824.0,6931.32,https://chilepropiedades.cl/ver-publicacion/venta-usada/pudahuel/casa/casa-2-pisos-en-lomas-de-lo-aguirre/4973735,8.0,471.9,medio,PUDAHUEL,11.763654364003278,Unimarc,3.7300224523731975
24,27,Las Condes,5.0,4.0,5.0,No,710.0,27000.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/ing-pedro-blanquier-con-la-rabida/6707447,38.0,465.6,medio,LOS DOMINICOS,3.176737799882761,Jumbo La Reina ,2.202075987816931
25,28,Colina,3.0,3.0,1.0,No,230.0,5800.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/la-siembra-con-los-nogales/5897163,25.0,421.3,medio,LOS DOMINICOS,2588.039545902446,Unimarc,673.5928752935006
26,29,La Cisterna,3.0,1.0,2.0,,140.0,4095.78,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/casa-con-local-140-m2-y-2-estacionamientos/5933236,29.0,794.1,crítico,EL PARRON,0.4229712777521749,Intermodal,1.0228898350797733
27,30,Quilicura,5.0,4.0,2.443019943019943,No,154.0,7000.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/quilicura/casa/pedro-riverosaranjuez/6426325,45.0,409.6,medio,LOS LIBERTADORES,5.449183381248498,Express de Lider,0.6356074683662621
28,31,Santiago,2.0,2.0,1.0,No,170.0,7200.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/madrid-1414/6707771,42.0,1183.1,crítico,IRARRAZAVAL,0.9385322533711256,Bustamante,0.906801181196506
29,32,Santiago,2.0,1.0,2.0,,1125.9585436648158,2362.95,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/omar-herrera-gutierrez-1642/6620249,2.0,1183.1,crítico,ELISA CORREA,1.5643341885200497,Express de Lider,0.8479749604929315
30,33,Ñuñoa,3.0,2.0,2.0,No,151.0,11000.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/casa/montenegroechenique/6105617,73.0,589.1,alto,VILLA FREI,0.949040014989006,Express de Lider,0.4252711330307596
31,34,Vitacura,4.0,4.0,3.0,No,300.0,17000.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/vitacura/casa/la-llaveria-1763/5813458,57.0,593.7,alto,LOS DOMINICOS,3.0442391212473567,Vitacura ,0.5721904162000088
32,35,Quilicura,4.0,1.0,1.0,No,74.0,2457.47,https://chilepropiedades.cl/ver-publicacion/venta-usada/quilicura/casa/villa-los-compositores/6501607,33.0,409.6,medio,LOS LIBERTADORES,4.4479844850500685,Quilicura ,0.6137625975808533
33,36,Lo Barnechea,4.0,7.0,4.0,No,1000.0,38000.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/lo-barnechea/casa/camino-la-loica/3507346,38.0,276.8,bajo,LOS DOMINICOS,9.760683371040557,Jumbo Los Trapenses ,1.6998891193034085
34,37,Santiago,4.0,3.0,2.0,,260.0,10800.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/cueto-con-catedral/6328970,42.0,1183.1,crítico,PLAZA DE ARMAS,0.0577957445561542,Express de Lider,0.2421656996236552
35,38,La Florida,4.0,6.0,2.443019943019943,No,1780.0,18700.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/lo-canaslas-araucarias/5899618,11.0,541.5,alto,TRINIDAD,4.428975022875378,Unimarc,1.216796660645036
36,39,Peñalolén,4.0,4.0,2.0,No,432.0,11750.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/penalolen/casa/casa-grande-sector-el-valle-penalolen/6440629,27.0,415.5,medio,FERNANDO CASTILLO VELASCO,5.9055194766508015,Consistorial,3.3343236842717343
37,40,La Florida,4.0,4.0,2.0,,258.88,9900.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/rojas-magallanes-araucania/3988745,38.0,541.5,alto,TRINIDAD,4.428975022875378,Unimarc,1.216796660645036
38,41,Santiago,3.0,3.0,1.0,,1125.9585436648158,4095.78,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/lomas-de-eyzaguirre/6797712,4.0,1183.1,crítico,PLAZA DE PUENTE ALTO,3.389734098801426,Superbodega Acuenta,0.399387878205573
39,42,Til til,8.0,3.0,2.443019943019943,No,1100.0,4883.43,https://chilepropiedades.cl/ver-publicacion/venta-usada/til-til/casa/dario-ovallemanuel-rodriguez/6426517,4.0,385.6,medio,LOS LIBERTADORES,38.54110146819065,Unimarc,23.848720574756467
40,43,Colina,3.0,3.0,3.0,No,350.0,11790.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo-poniente-colegio-pumahue/5260810,34.0,421.3,medio,LOS DOMINICOS,2588.039545902446,Unimarc,673.5928752935006
41,44,Melipilla,4.0,1.0,2.443019943019943,No,740.0,6300.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/melipilla/casa/casa-en-melipilla/5803436,9.0,474.3,medio,PLAZA DE MAIPU,46.66808542130583,Melipilla ,0.1861441638279274
42,45,La Florida,2.0,1.0,1.0,No,85.0,2678.01,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/la-florida-region-metropolitana/6425368,32.0,541.5,alto,BELLAVISTA DE LA FLORIDA,0.1179721158528139,Lider,0.1364128296960149
43,46,Lo Barnechea,4.0,4.0,2.443019943019943,No,1600.0,32600.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/lo-barnechea/casa/cerro-punta-de-damas/6459064,20.0,276.8,bajo,LOS DOMINICOS,7.148390409468651,Jumbo La Dehesa ,1.706557661412452
44,47,Lo Barnechea,5.0,2.630757613893783,4.0,No,908.0,24900.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/lo-barnechea/casa/los-refugios-del-arrayan/6702919,27.0,276.8,bajo,LOS DOMINICOS,9.63999396918989,Express de Lider,2.6302856676720983
45,48,Peñalolén,5.0,3.0,1.0,,241.0,7718.97,https://chilepropiedades.cl/ver-publicacion/venta-usada/penalolen/casa/el-olivillo-5956/5311878,32.0,415.5,medio,LAS TORRES,2.7640889280219727,Tobalaba,0.5120553166218832
46,49,Santiago,4.0,2.0,1.0,,109.0,3245.12,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/la-foresta-puente-alto/6797686,30.0,1183.1,crítico,PROTECTORA DE LA INFANCIA,1.3702824057646843,Express de Lider,1.1793406352206652
47,50,Huechuraba,4.0,4.0,2.0,No,225.0,8200.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/avenida-el-sauce-1244-portada-de-huechuraba-iii-huechuraba/6728941,36.0,536.5,alto,VESPUCIO NORTE,1.7357140243445708,Unimarc,2.9236278376368565
