,id,Comuna,N_Habitaciones,N_Baños,N_Estacionamientos,Amoblado,Total_Superficie_M2,Valor_UF,Link,colUF/m2,Tasa cada 100Mil,Rango
0,1,Quinta Normal,3.0,3.0,2.443019943019943,No,750.0,15300.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/quinta-normal/casa/salvador-gutierrez-con-nunez-de-balboa/6031175,20.0,745.1,alto
1,2,Santiago,5.0,2.0,2.0,,147.0,4788.91,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/avenida-el-rosal/5592922,33.0,1183.1,crítico
2,3,Maipú,2.0,1.0,1.0,No,111.0,3056.08,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/el-huaso-2546-maipu/6720221,28.0,370.9,medio
3,4,Puente Alto,3.0,3.0,2.443019943019943,No,100.0,4190.3,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/metro-sotero-del-rio/6071448,42.0,369.1,medio
4,5,Maipú,4.0,2.0,3.0,,130.0,5513.55,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/ramayana-cerca-metro-plaza-maipu/3995128,42.0,370.9,medio
5,6,Paine,3.0,1.0,1.0,No,112.0,1890.36,https://chilepropiedades.cl/ver-publicacion/venta-usada/paine/casa/dieciocho-de-septiembre-agpedro-vargas/6033126,17.0,328.3,medio
6,7,Maipú,5.0,2.0,1.0,No,149.0,3465.66,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/el-conquistadorautopista-del-sol/6503735,23.0,370.9,medio
7,8,Santiago,3.0,2.0,3.0,,130.0,3308.13,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/santa-lidia-maipu-chile/6638667,25.0,1183.1,crítico
8,9,San Miguel,4.0,1.0,1.0,No,160.0,4253.31,https://chilepropiedades.cl/ver-publicacion/venta-usada/san-miguel/casa/san-miguel-region-metropolitana/6600605,27.0,735.9,alto
9,10,Vitacura,4.0,3.0,4.0,No,337.0,19800.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/vitacura/casa/joaquin-cerda/6722161,59.0,593.7,alto
10,11,Puente Alto,3.0,2.0,2.0,No,165.0,4250.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/portezuelo-tobalaba-casa-de-2-pisos-3-dorm-y-2-banos-amplio-terreno/6598325,26.0,369.1,medio
11,13,Providencia,3.0,2.0,3.0,,159.6,12287.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/providencia/casa/miguel-claro-metro-santa-isabel/5676395,77.0,1567.1,crítico
12,15,Lo Barnechea,3.0,3.0,2.443019943019943,No,377.0,15480.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/lo-barnechea/casa/laguna-de-lo-barnechea/6712357,41.0,276.8,bajo
13,16,Calera de Tango,4.0,2.0,1.0,,233.0,4725.9,https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/calle-6/6176889,20.0,423.9,medio
14,17,Puente Alto,2.0,1.0,2.0,No,90.0,2200.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/san-hugo/6715569,24.0,369.1,medio
15,18,La Reina,4.0,2.0,6.0,No,375.0,10480.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/pontevedra-av-vicente-perez-rosales/6420408,28.0,565.4,alto
16,19,Maipú,3.0,2.0,1.0,No,200.0,4625.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/americo-vespucioprimo-de-rivera/6176022,23.0,370.9,medio
17,20,La Granja,3.0,2.0,1.0,No,110.0,3465.66,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-granja/casa/la-granja-region-metropolitana/6424273,32.0,518.7,medio
18,21,Buin,6.0,3.0,3.0,,2000.0,17643.35,https://chilepropiedades.cl/ver-publicacion/venta-usada/buin/casa/calle-el-bosque/5857769,9.0,435.1,medio
19,22,Colina,4.0,3.0,2.443019943019943,No,4400.0,18700.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/se-aceptan-ofertascolegio-san-anselmo/5767202,4.0,421.3,medio
20,23,Las Condes,4.0,4.0,1.0,No,1600.0,29900.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/camino-del-observatoriolos-pintores/3725140,19.0,465.6,medio
21,24,Lampa,2.0,1.0,1.0,,74.0,2205.42,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/valle-del-aconcagua/6627452,30.0,394.9,medio
22,25,Puente Alto,6.0,3.0,2.443019943019943,No,214.0,5045.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/jorge-ross-ossa/6772634,24.0,369.1,medio
