,prop_id,address,comuna,loc_address,loc_latitude,loc_longitude,state,closest_metro,dist_closest_metro
0,1,"Quinta Normal, Salvador Gutierrez con Nuñez de Balboa",Quinta Normal,"Quinta Normal, Provincia de Santiago, Región Metropolitana de Santiago, Chile",-33.42827555,-70.69992761772909,False,GRUTA DE LOURDES,1.3584541712206493
1,2,"Santiago, Avenida El Rosal",Santiago,"Avenida El Rosal, Santa María de Maipú, Maipú, Provincia de Santiago, Región Metropolitana de Santiago, 9250678, Chile",-33.4897141,-70.7757485,True,SANTIAGO BUERAS,1.8575043189743308
2,3,"Maipú, El Huaso 2546 Maipú",Maipú,"Maipú, Provincia de Santiago, Región Metropolitana de Santiago, 9251542, Chile",-33.5094409,-70.756182,False,PLAZA DE MAIPU,0.16683764202401136
3,4,"Puente Alto, Metro sótero del rio",Puente Alto,"Puente Alto, Provincia de Cordillera, Región Metropolitana de Santiago, Chile",-33.6095279,-70.5754736,False,PLAZA DE PUENTE ALTO,0.10691729565480455
4,5,"Maipú, Ramayana  cerca Metro Plaza Maipu",Maipú,"Maipú, Provincia de Santiago, Región Metropolitana de Santiago, 9251542, Chile",-33.5094409,-70.756182,False,PLAZA DE MAIPU,0.16683764202401136
5,6,"Paine, Dieciocho de Septiembre (AG)/Pedro Vargas",Paine,"Paine, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.8101102,-70.7390236,False,PLAZA DE PUENTE ALTO,26.82212435234387
6,7,"Maipú, El Conquistador/Autopista del Sol",Maipú,"Maipú, Provincia de Santiago, Región Metropolitana de Santiago, 9251542, Chile",-33.5094409,-70.756182,False,PLAZA DE MAIPU,0.16683764202401136
7,8,"Santiago, Santa Lidia, Maipú, Chile",Santiago,"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8320000, Chile",-33.4377756,-70.6504502,False,PLAZA DE ARMAS,0.05779574455615426
8,9,"San Miguel, San Miguel, Región Metropolitana",San Miguel,"San Miguel, Gran Avenida José Miguel Carrera, San Miguel, Provincia de Santiago, Región Metropolitana de Santiago, 8910183, Chile",-33.4887135,-70.6510759,True,SAN MIGUEL,0.04784753228080031
9,10,"Vitacura, Joaquin cerda",Vitacura,"Joaquín Cerda, Vitacura, Provincia de Santiago, Región Metropolitana de Santiago, 7640639, Chile",-33.3851876,-70.5737183,True,MANQUEHUE,2.694651174798146
10,11,"Puente Alto, Portezuelo Tobalaba, casa de 2 pisos, 3 Dorm y 2 Baños, amplio terreno",Puente Alto,"Puente Alto, Provincia de Cordillera, Región Metropolitana de Santiago, Chile",-33.6095279,-70.5754736,False,PLAZA DE PUENTE ALTO,0.10691729565480455
11,12,"Colina, El Algarrobo / Avenida del Valle",Colina,"Colina, Região Imediata de Barretos, Região Geográfica Intermediária de Ribeirão Preto, São Paulo, Região Sudeste, 14770-000, Brasil",-20.711443,-48.53867,False,LOS DOMINICOS,2588.039545902446
12,13,"Providencia, Miguel Claro, metro Santa Isabel",Providencia,"Providencia, Los Abades, Nariño, Colombia",1.2420408,-77.6009953089243,False,LOS LIBERTADORES,3898.883442417413
13,14,"Las Condes, Camino Otoñal",Las Condes,"Camino Otoñal, La Foresta, Las Condes, Provincia de Santiago, Región Metropolitana de Santiago, 7630000, Chile",-33.407257,-70.5175304,True,LOS DOMINICOS,2.56368640530102
14,15,"Lo Barnechea, Laguna de Lo Barnechea",Lo Barnechea,"Lo Barnechea, Provincia de Santiago, Región Metropolitana de Santiago, Chile",-33.2935888,-70.39035501440654,False,LOS DOMINICOS,19.18722606594324
15,16,"Calera de Tango, Calle 6",Calera de Tango,"Calle Manantial, Villa Puerta del Inca, Calera de Tango, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.630214,-70.7790107,True,PLAZA DE MAIPU,13.41550038167834
16,17,"Puente Alto, San hugo",Puente Alto,"San Hugo, Condominio Tempus, Puente Alto, Provincia de Cordillera, Región Metropolitana de Santiago, 8151746, Chile",-33.590539,-70.5614108,True,PROTECTORA DE LA INFANCIA,1.7086179412830578
